cellid,btsLat,btsLon
18232844,49.8423417,18.2819222
18232845,49.8423417,18.2819222
18626069,49.845075,18.2887667
18637077,49.8397194,18.298675
18637078,49.8397194,18.298675
18660886,49.8470917,18.2942583
18674198,49.8423417,18.2819222
18946581,49.8385139,18.2850167
18948629,49.8357861,18.2880861
18948630,49.8357861,18.2880861
18949141,49.8392778,18.2813722
18950679,49.8373278,18.2930917
18951446,49.8380889,18.2874611
18953750,49.8430083,18.2885
18953751,49.8430083,18.2885
18954261,49.8359611,18.2939972
18954264,49.8359611,18.2939972
18954775,49.8439194,18.2963444
18954776,49.8439194,18.2963444
