mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
230,1,28732,18626069,49.8445998,18.2908955,-82,1679504076319,3.4,1.0655175,71.25522,LTE,,,28732,-1,,,
230,1,28732,18626069,49.844615,18.290981,-74,1679504081227,4.8,1.0789557,80.13761,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8446026,18.2911106,-81,1679504086134,4.9,1.2229657,96.25054,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8445957,18.2912101,-73,1679504091041,3.5,1.3295833,102.50776,LTE,,,28732,-1,,,
230,1,28732,18954776,49.8446194,18.2913062,-77,1679504095948,3.4,1.3132769,89.85365,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8445776,18.2913897,-81,1679504100822,3.0,1.2027427,105.33348,LTE,,,28732,-1,,,
230,1,28732,18954776,49.8445092,18.29146,-81,1679504105741,3.0,1.1483296,124.60725,LTE,,,28732,-1,,,
230,1,28732,18954776,49.8444146,18.2914802,-79,1679504110671,3.0,1.1281656,150.37099,LTE,,,28732,-1,,,
230,1,28732,18954776,49.8443342,18.2914899,-86,1679504115546,3.0,1.1845349,166.71608,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8442603,18.2914945,-83,1679504120483,3.0,1.2569511,172.60017,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8441918,18.2914935,-82,1679504125393,3.0,1.3104522,176.76884,LTE,,,28732,-1,,,
230,1,28732,18954776,49.8441148,18.2914952,-81,1679504130300,3.0,1.3672075,177.78218,LTE,,,28732,-1,,,
230,1,28732,18953750,49.8440284,18.2914922,-81,1679504135208,3.2,1.4471596,179.44795,LTE,,,28732,-1,,,
230,1,28732,18954776,49.8439647,18.2914934,-82,1679504140116,3.6,1.4696282,177.5132,LTE,,,28732,-1,,,
230,1,28732,18954776,49.8438935,18.2915008,-83,1679504145022,3.2,1.4412594,176.81334,LTE,,,28732,-1,,,
230,1,28732,18954776,49.8438225,18.2915006,-86,1679504149929,3.0,1.4401752,178.20747,LTE,,,28732,-1,,,
230,1,28732,18953750,49.8437493,18.291496,-79,1679504154837,3.0,1.46925,181.58185,LTE,,,28732,-1,,,
230,1,28732,18660886,49.843676,18.2914934,-88,1679504159744,3.7,1.5101688,179.77461,LTE,,,28732,-1,,,
230,1,28732,18660886,49.843615,18.2914908,-87,1679504164652,4.2,1.5027484,179.98863,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8435541,18.2915125,-87,1679504169553,3.3,1.3818036,177.58694,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8434911,18.2915932,-88,1679504174467,3.1,1.3355057,170.2379,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8433486,18.2917405,-83,1679504184281,3.6,1.4821681,157.9664,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8432489,18.2917791,-79,1679504189189,3.5,1.5923322,162.96753,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8431703,18.2918002,-75,1679504194095,3.5,1.6536505,166.54039,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8430361,18.2918403,-79,1679504204346,4.7,1.617284,168.35304,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8429645,18.291869,-77,1679504209253,3.9,1.6763204,165.44547,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8429022,18.2918993,-84,1679504214160,4.0,1.688571,163.8975,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8428386,18.2919368,-92,1679504219067,4.0,1.6736176,162.75188,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8427849,18.2919705,-89,1679504223975,3.9,1.6195507,161.41316,LTE,,,28732,-1,,,
230,1,28732,18660886,49.8427286,18.2920208,-90,1679504228846,3.7,1.5586586,156.21031,LTE,,,28732,-1,,,
230,1,28732,18660886,49.842664,18.2920462,-88,1679504233789,3.5,1.4915173,158.4491,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8426118,18.2920633,-85,1679504238697,3.0,1.3512515,157.0083,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8425021,18.292129,-88,1679504248510,3.1,1.2921029,160.41191,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8424422,18.2921627,-89,1679504253417,3.0,1.336198,157.22368,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8423774,18.2922053,-92,1679504258303,3.0,1.3620087,155.73209,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8422975,18.2922444,-78,1679504263776,3.1,1.443925,160.47108,LTE,,,28732,-1,,,
230,1,28732,18954775,49.842232,18.2922784,-77,1679504268685,3.7,1.6598341,160.93707,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8421737,18.2923067,-86,1679504273553,3.5,1.5974455,160.90376,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8421037,18.2923489,-87,1679504278498,4.4,1.580393,160.65445,LTE,,,28732,-1,,,
230,1,28732,18954775,49.842031,18.2923796,-85,1679504283405,3.5,1.5599883,162.31642,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8419449,18.2923935,-87,1679504288312,3.6,1.5690348,165.16206,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8418848,18.2924325,-84,1679504293219,3.6,1.5666506,164.68869,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8418234,18.292477,-83,1679504298127,3.6,1.5450099,159.84782,LTE,,,28732,-1,,,
230,1,28732,18954775,49.841744,18.2925191,-85,1679504303033,4.4,1.5536755,158.50912,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8416721,18.2925559,-84,1679504307924,3.6,1.5524571,158.84862,LTE,,,28732,-1,,,
230,1,28732,18954775,49.841598,18.2925805,-82,1679504312848,3.6,1.5316001,161.20073,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8415237,18.2926161,-83,1679504317646,3.1,1.5198739,163.45314,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8414567,18.2926465,-82,1679504322553,3.4,1.4913392,160.8078,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8413906,18.292667,-88,1679504327460,4.2,1.4224753,161.50279,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8413209,18.2926941,-87,1679504332367,4.3,1.3999552,161.15607,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8412516,18.2927351,-88,1679504337262,4.5,1.4265293,159.08228,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8411792,18.2927703,-83,1679504342181,4.9,1.4409571,160.78282,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8411227,18.2927972,-80,1679504347088,4.1,1.3817536,160.68452,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8410658,18.2928632,-83,1679504351996,4.2,1.3600576,158.93333,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8410203,18.2929848,-79,1679504356903,3.6,1.440519,145.65814,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8409744,18.2930697,-79,1679504361810,3.5,1.7338492,138.60764,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8409259,18.2930843,-92,1679504366718,3.6,1.4839574,167.1822,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8408659,18.2931244,-90,1679504371552,3.5,1.1737976,163.86597,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8408031,18.2931446,-95,1679504376422,3.8,1.2047464,159.74445,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8407186,18.2931853,-89,1679504381329,5.4,1.3561155,157.01941,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8406268,18.2932612,-90,1679504386237,3.7,1.4877293,156.97404,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8405478,18.2933077,-89,1679504391035,4.0,1.5429928,158.21263,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8404632,18.2933616,-86,1679504395941,3.4,1.6105527,157.89348,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8403956,18.2934037,-87,1679504400838,3.6,1.6703861,157.40714,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8403229,18.2934489,-88,1679504405757,3.6,1.7550218,157.41187,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8402626,18.2934865,-86,1679504410664,4.5,1.7409159,157.16216,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8401824,18.2935461,-86,1679504415552,3.6,1.7134734,155.79854,LTE,,,28732,-1,,,
230,1,28732,18954775,49.84011,18.2936035,-90,1679504420477,3.5,1.6602708,154.41483,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8400469,18.2936513,-88,1679504425384,3.4,1.5879529,153.87497,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8399876,18.2936929,-87,1679504430291,3.0,1.3321062,156.04424,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8399288,18.2937281,-91,1679504435199,3.4,1.2426356,162.79321,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8398587,18.2937753,-89,1679504440106,4.8,1.3582004,158.77396,LTE,,,28732,-1,,,
230,1,28732,18954775,49.83981,18.2938281,-89,1679504444903,4.0,1.4545082,159.38152,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8397573,18.2938259,-92,1679504449810,3.7,1.296481,169.73538,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8396939,18.2938587,-85,1679504454717,3.2,1.2072824,157.13826,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8396203,18.2938939,-85,1679504459625,3.6,1.4631245,158.71101,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8395441,18.2939439,-89,1679504464532,4.3,1.4965972,159.04625,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8394788,18.2939891,-90,1679504469439,4.6,1.4658858,155.35287,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8394072,18.2940285,-94,1679504474346,4.4,1.4766475,155.3968,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8393374,18.2940816,-92,1679504479253,3.9,1.4529145,152.54878,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8392827,18.2941302,-90,1679504484664,4.1,1.4011277,149.97842,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8392271,18.2941746,-94,1679504489612,4.3,1.338389,150.30008,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8391797,18.2942229,-97,1679504494410,3.9,1.2472873,148.76076,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8391402,18.2942861,-100,1679504499305,4.1,1.0833722,137.37971,LTE,,,28732,-1,,,
230,1,28732,18954775,49.8391088,18.2943713,-107,1679504504225,4.6,1.0606035,127.89759,LTE,,,28732,-1,,,
230,1,28732,18637077,49.8390413,18.2944048,-96,1679504509132,4.6,1.0864042,145.39433,LTE,,,28732,-1,,,
